Name,Description,CostPrice,TaxRate,CostIncTax,SalePriceIncTax,IsVariablePrice,MarginPerc,TaxExemptEligible,RRPrice,Barcode,Category,Brand,Supplier,OrderCode,ArticleCode,Size,Colour,ProductType,TareWeight,ProductId,AgeRestriction
BEDEKAR GROUNDNUT CHUTNEY 100GM,BEDEKAR GROUNDNUT CHUTNEY 100GM,1.82000,GST,2.00200,3.99000,False,0.498250,False,0,694642604247,Grocery,BEDEKAR,Hari Om Foods Pty Ltd,,,,,Standard,,2312092,
BEDEKAR GARLIC CHUTNEY 100GM,BEDEKAR GARLIC CHUTNEY 100GM,1.82000,GST,2.00200,3.99000,False,0.498250,False,0,694642201248,Grocery,BEDEKAR,Hari Om Foods Pty Ltd,,,,,Standard,,2312098,
BEDEKAR LIME CHILLI 400GMS,BEDEKAR LIME CHILLI 400GMS2.25,2.05000,GST,2.25500,3.99000,False,0.434840,False,0,694642118126,Grocery,BEDEKAR,Hari Om Foods Pty Ltd,,,,,Standard,,2312183,
BEDEKAR MANGO PICKLE 400GM,BEDEKAR MANGO PICKLE 400GM,2.05000,GST,2.25500,3.99000,False,0.434840,False,0,694642111127,Grocery,BEDEKAR,Hari Om Foods Pty Ltd,,,,,Standard,,2312188,
GANESH TIKHA GATHIA 180GMS,GANESH TIKHA GATHIA 180GMS,1.39000,GST,1.52900,2.99000,False,0.488630,False,0,8906063160533,Grocery,"Ganesh Bhel ",Hari Om Foods Pty Ltd,,,,,Standard,,2312335,
MATKI USAL 100GMS,MATKI USAL 100GMS,2.27000,GST,2.49700,3.99000,False,0.374190,False,0,8906129160057,Grocery,jaidev foods,Hari Om Foods Pty Ltd,,,,,Standard,,2312347,
KALYAN MISAL FARSAN 200GM,KALYAN MISAL FARSAN 200GM,3.00000,GST,3.30000,5.10000,False,0.352940,False,0,8906053840490,Grocery,"KALYAN BHEL ",Hari Om Foods Pty Ltd,,,,,Standard,,2312372,
KALYAN BHEL 350GMS,KALYAN BHEL 350GMS,4.28000,GST,4.70800,7.28000,False,0.353300,False,0,8906053840025,Grocery,"KALYAN BHEL ",Hari Om Foods Pty Ltd,,,,,Standard,,2312941,
GANESH KERALA NAMKEEN 180GMS,GANESH KERALA NAMKEEN 180GMS,1.73000,GST,1.90300,2.99000,False,0.363550,False,0,8906063160519,Grocery,"Ganesh Bhel ",Hari Om Foods Pty Ltd,,,,,Standard,,2312983,
DD Elayada Sugar,DD Elayada Sugar,5.27000,GST FREE,5.27000,7.99000,False,0.340430,False,0,664648120065,FROZEN,DD EL,Red Orange,,,,,Standard,,2314648,
Shriji Khoya peda,Shriji Khoya peda,5.50000,GST FREE,5.50000,8.25000,False,0.333330,False,0,8906094871101,PREPARED FOODS,Shriji,SHRIJI,,,,,Standard,,2318601,
Shriji Besan ladoo,Shriji Besan ladoo,5.50000,GST FREE,5.50000,8.25000,False,0.333330,False,0,8906094871095,PREPARED FOODS,Shriji,SHRIJI,,,,,Standard,,2318671,
Shriji Khoya Barfi,Shriji Khoya Barfi,5.50000,GST FREE,5.50000,8.25000,False,0.333330,False,0,8906094871118,PREPARED FOODS,Shriji,SHRIJI,,,,,Standard,,2318682,
Shriji Kesar Peda,Shriji Kesar Peda,5.50000,GST FREE,5.50000,8.25000,False,0.333330,False,0,8906094871200,PREPARED FOODS,Shriji,SHRIJI,,,,,Standard,,2318691,
Shriji Milk Cake,Shriji Milk Cake,7.00000,GST FREE,7.00000,10.50000,False,0.333330,False,0,8906094871194,PREPARED FOODS,Shriji,SHRIJI,,,,,Standard,,2318695,
WEIS PINEAPPLE LIME & COCONUT,WEIS PINEAPPLE LIME & COCONUT,2.14000,GST,2.35400,3.75000,False,0.372270,False,0,9300830061006,FROZEN,WEIS,Metro Icecream,,,,,Standard,,2318975,
Dd drumstick 400gm,Dd drumstick 400gm,0.00000,GST,0.00000,4.25000,False,1.000000,False,0,664648729053,FROZEN,,Red Orange,,,,,Standard,,2319813,
"Bitter gourd first choice ","Bitter gourd first choice ",0.00000,GST,0.00000,1.99000,False,1.000000,False,0,8906061490526,Grocery,,Red Orange,,,,,Standard,,2319876,
"DD idiyappam ","DD idiyappam ",4.16000,GST,4.57600,6.25000,False,0.267840,False,0,664648220055,FROZEN,,Red Orange,,,,,Standard,,2319883,
"Dd puttu white ","Dd puttu white ",3.60000,GST,3.96000,5.75000,False,0.311300,False,0,664648320410,Grocery,,Red Orange,,,,,Standard,,2320078,
"Mayil surekha rice 10kg ","Mayil surekha rice 10kg ",13.63000,GST,14.99300,19.99000,False,0.249970,False,0,6485957463456,Grocery,,,,,,,Standard,,2320742,
"Mayil ponni rice 5kg ","Mayil ponni rice 5kg ",9.25000,GST FREE,9.25000,14.99000,False,0.382920,False,0,8906005625595,Grocery,,Red Orange,,,,,Standard,,2320927,
KACHORI with CHUTNEY,KACHORI with CHUTNEY,2.27000,GST,2.49700,3.49000,False,0.284530,False,0,,PREPARED FOODS,,SHRIJI,,,,,Standard,,2322018,
VEG/PANEER PUFFS,VEG/PANEER PUFFS,1.82000,GST,2.00200,3.75000,False,0.466130,False,0,,PREPARED FOODS,,SHRIJI,,,,,Standard,,2322026,
HOMEMADE CHAPATHI,HOMEMADE CHAPATHI,5.00000,GST FREE,5.00000,8.00000,False,0.375000,False,0,,PREPARED FOODS,,,,,,,Standard,,2324959,
